IOM	BAS FILI
WROS ACA	POL OINOF
MOS PROS	QESMOQ
QETAI	NAYSIAS 
MOKLHS EK KOLW	DHMOKLHS
EIDIPPOS PAIAN	PROKLEID
ALKIBIADHS LEYKON	AQHNIPPO
DIFILOS ACERDOYSI	DROMOKLH
LYSIKLEIDHS RAMN	HRWIDHS F
QEODWROS ALWPEK	ARC DIOKLHS 
C LEWCARHS PALL	BAS QRASWN
AS FILOKRATHS PAIA	POL AISCRIWN
OL FILWTADHS FYLA	QESMOQETAI
SMOQETAI	 QEOKLHS EG 
SWFANHS KYDAQHNA	LINDOS BER
ARCEMACOS FHGAIE	ARCIKLHS Q
AGAQOKLHS KIKYNNE	MATREAS LA
GHSIAS FLYEYS	DHMOKRITOS 
RASYMHDHS ANAKAI	CAIREAS PAL
KALLISTRATOS FALH	ARC EYFILHTO
C QEOFILOS E OIOY	BAS NAYKRAT
S PROENOS AFIDN	POL KALLIKLH
L QEWROS QRIASIO	QESMOQETAI
SMOQETAI	KLEODHMOS K
ILAGROS KOQWKIDH	APOLLODWROS
EYBOYLOS LAMPTREY	DHMHTRIOS BE
EYDHMOS PAIANIEYS	KICHSIAS AI
IEROKLHS PAIONIDH	LEYKASPIS 
HMOSTRATOS FLYEY	PANTAKLHS 
OFILOS AMFITROPH	ARC HRAKLEI
RGOCARS SFHT	BAS QHRAMEN
